Model,AUC-ROC,AUC-PR,Recall,Precision,F1,Train Time (s)
XGBoost (Balanced),0.7694669783102174,0.26131377740391326,0.029964448958862366,0.5784313725490197,0.05697730564944471,6.86
LightGBM (Balanced),0.7647716955124657,0.24768982351113653,0.029456576942610464,0.58,0.05606573223779604,4.68
