Model,AUC-ROC,AUC-PR,Recall,Precision,F1
XGBoost (Tuned),0.7764860425194723,0.28363677623414163,0.5220924327069578,0.24120131393711872,0.3299630877868721
LightGBM (Tuned),0.7734507007434591,0.28724442289905533,0.5175215845606908,0.2454238921001927,0.3329521320045744
